# citation=Milloy et al., Aust. J. Phys. 28, 231 (1975); Shimamori and Hatano, Chem. Phys. 12, 439 (1976); Hegerberg and Reid, Aust. J. Phys. 33, 227 (1980); Morrow and Lowke, J. Phys. D 30, 614 (1997); de Urquijo et al., J. Phys. D 57, 125205 (2024); Dutton, J. Phys. Chem. Ref. Data 4, 577 (1975)
# gas=dry air (0% H2O); measurement_temperature_K=293..300
# valid_en_td=0.000001..100; interpolation=positive log-linear plus nonnegative two-body onset; below_range=hold zero-field asymptote; above_range=forbidden
en_td,flux_drift_velocity_m_per_s,reduced_flux_mobility_ref_m2_per_v_s,longitudinal_diffusion_ref_m2_per_s,transverse_diffusion_ref_m2_per_s,eta_over_n2_cm5,three_body_rate_cm6_per_s,three_body_frequency_ref_s,eta_over_n_cm2,two_body_rate_cm3_per_s,two_body_frequency_ref_s,relative_uncertainty_mobility,relative_uncertainty_three_body,relative_uncertainty_two_body,source_row
3.3,11200.0,0.1263190186816806,0.030780110168229863,0.05334452989008215,4.5996733845095367e-38,5.151634190650682e-32,37189102.38547527,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_interpolated__table3_held__dutton2p19_interpolated
3.58,11760.638717128077,0.12226792517950452,0.030780110168229863,0.05502056633077704,4.2612623302428746e-38,5.011516674489376e-32,36177608.855135314,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_held__dutton2p19_printed
3.6,11800.0,0.12199559988751593,0.030780110168229863,0.05514974247811333,4.239044227317482e-38,5.002072188234629e-32,36109430.107711166,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_interpolated__table3_held__dutton2p19_interpolated
4.0,12400.0,0.1153788893851422,0.030780110168229863,0.056872263982816654,3.8399999999999997e-38,4.7616e-32,34373486.813184,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_held__dutton2p19_interpolated
4.47,12965.16091235825,0.10795308268510874,0.030780110168229863,0.05829466464995872,3.1865149368121986e-38,4.131367890540323e-32,29823907.868342493,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_held__dutton2p19_printed
4.5,13000.0,0.10752154566357337,0.030780110168229863,0.058322932074305715,3.150924652459108e-38,4.09620204819684e-32,29570049.371604376,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_interpolated__table3_held__dutton2p19_interpolated
5.0,13600.0,0.1012356706863183,0.030780110168229863,0.05893780388735348,2.64e-38,3.5904e-32,25918717.879296,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_held__dutton2p19_interpolated
5.36,14107.150301826849,0.09795783186170288,0.030780110168229863,0.059754277435638756,2.3838144996505514e-38,3.362882943824449e-32,24276296.312968563,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_held__dutton2p19_printed
5.5,14300.0,0.09676939109721602,0.030780110168229863,0.06017026801263159,2.2952600158946185e-38,3.2822218227293046e-32,23694012.21050288,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_interpolated__table3_held__dutton2p19_interpolated
5.96,14944.992592896057,0.09332846109750614,0.030780110168229863,0.06159678432435406,2.0399354596704355e-38,3.048682033476067e-32,22008113.171051867,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_held__dutton2p19_printed
6.0,15000.0,0.0930474914396308,0.030780110168229863,0.06163164824610815,2.0199999999999998e-38,3.0299999999999996e-32,21873249.547199998,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
6.5,15600.0,0.08932559178204558,0.030147387226440375,0.061756802599924346,1.8128228147268436e-38,2.828003590973876e-32,20415058.83358063,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_interpolated__table3_printed__dutton2p19_interpolated
7.0,16300.0,0.08666709202662755,0.028776848619322733,0.06234377519091463,1.6399999999999997e-38,2.6731999999999994e-32,19297548.082367998,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_interpolated__dutton2p19_interpolated
8.0,17500.0,0.08141655500967696,0.026462706565431003,0.0629067728026193,1.36e-38,2.38e-32,17180968.2912,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
8.94,18817.574481616986,0.07834130203547524,0.02835440988135684,0.06423986766908969,1.2275499314051335e-38,2.3099512264119923e-32,16675293.603026468,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_interpolated__dutton2p19_printed
9.0,18899.999999999996,0.07815989280928985,0.028472532380527025,0.06427897401527519,1.2199999999999997e-38,2.3057999999999992e-32,16645326.338591997,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
10.0,20100.000000000004,0.07481018311746317,0.02932279219219922,0.06442696555546061,1.03e-38,2.0703000000000003e-32,14945276.745072003,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_interpolated__dutton2p19_interpolated
11.92,22694.81243687692,0.07086226060215879,0.030796962227639807,0.06590190236000767,8.67649531670051e-39,1.969114338219591e-32,14214828.154074818,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_interpolated__dutton2p19_printed
12.0,22800.0,0.0707160934941194,0.03085454816138157,0.06590918937726262,8.619999999999999e-39,1.9653599999999996e-32,14187725.9835264,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
13.0,24065.644595339465,0.06889993413766296,0.029573721921071532,0.06591008013034756,7.779999999999999e-39,1.8723071495174103e-32,13515987.297162054,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_printed__table3_interpolated__dutton2p19_interpolated
