model,datetime_utc,latitude_deg_N,longitude_deg_E,f107a,f107_previous_day,ap,altitude_km_MSL,temperature_K,neutral_number_density_cm3,neutral_number_density_ratio_to_sea_level,mass_density_g_cm3,mass_density_ratio_to_sea_level,RREA_Eth_abs_kV_per_m,RREA_Eth_negative_kV_per_m,RREA_Eth_positive_kV_per_m
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.55,290.40069659008833,2.123598648385005e+19,0.8586738598470359,0.0010205441532647871,0.8586738598470357,243.8633761965582,-243.8633761965582,243.8633761965582
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.6,290.1445508287582,2.113035970417496e+19,0.8544028571942607,0.0010154680155253148,0.8544028571942608,242.65041144317004,-242.65041144317004,242.65041144317004
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.65,289.88827899037045,2.1025176776350302e+19,0.8501498016230539,0.001010413208106956,0.8501498016230538,241.4425436609473,-241.4425436609473,241.4425436609473
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.7,289.6318646070097,2.0920437301710533e+19,0.8459146770134353,0.0010053797118509222,0.845914677013435,240.23976827181562,-240.23976827181562,240.23976827181562
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.75,289.3752913372386,2.0816140851058233e+19,0.841697466010873,0.0010003675061311446,0.8416974660108728,239.04208034708793,-239.04208034708793,239.04208034708793
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.8,289.1185429659668,2.071228696519386e+19,0.8374981500477039,0.0009953765688797333,0.8374981500477037,237.8494746135479,-237.8494746135479,237.8494746135479
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.85,288.86160340433753,2.060887515543966e+19,0.8333167093643179,0.0009904068766121556,0.8333167093643179,236.6619454594663,-236.6619454594663,236.6619454594663
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.9,288.6044566896306,2.0505904904158306e+19,0.8291531230301289,0.000985458404452159,0.8291531230301288,235.4794869405566,-235.4794869405566,235.4794869405566
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.95,288.3470869851823,2.0403375665266086e+19,0.8250073689643258,0.000980531126156436,0.8250073689643257,234.30209278586852,-234.30209278586852,234.30209278586852
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.0,288.08947858032116,2.030128686474078e+19,0.8208794239564079,0.0009756250141390286,0.8208794239564079,233.12975640361984,-233.12975640361984,233.12975640361984
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.05,287.83161589031965,2.0199637901124133e+19,0.8167692636865032,0.0009707400394954782,0.8167692636865033,231.96247088696688,-231.96247088696688,231.96247088696688
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.1,287.57348345636075,2.0098428146018955e+19,0.8126768627454671,0.0009658761720267123,0.8126768627454672,230.80022901971267,-230.80022901971267,230.80022901971267
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.15,287.3150659455198,1.9997656944581046e+19,0.808602194654775,0.0009610333802626876,0.808602194654775,229.6430232819561,-229.6430232819561,229.6430232819561
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.2,287.0563481507608,1.989732361600571e+19,0.8045452318861933,0.0009562116314857693,0.8045452318861932,228.4908458556789,-228.4908458556789,228.4908458556789
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.25,286.7973149909475,1.9797427454009176e+19,0.8005059458812458,0.0009514108917538671,0.8005059458812457,227.34368863027382,-227.34368863027382,227.34368863027382
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.3,286.53795151086706,1.9697967727304778e+19,0.7964843070704684,0.0009466311259233192,0.7964843070704684,226.20154320801302,-226.20154320801302,226.20154320801302
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.35,286.27824288126857,1.9598943680073843e+19,0.7924802848924487,0.0009418722976715212,0.7924802848924486,225.06440090945543,-225.06440090945543,225.06440090945543
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.4,286.0181743989137,1.950035453243175e+19,0.7884938478126715,0.0009371343695193247,0.7884938478126715,223.9322527787987,-223.9322527787987,223.9322527787987
