altitude_km_MSL,minus_Ez_kV_per_m
12.932872,102.696558
12.962608,99.648908
12.992345,96.324200
13.022081,92.722432
13.051818,89.120664
13.081554,85.795955
13.111291,82.194188
13.141027,78.592420
13.170764,74.990652
13.200500,71.111825
13.230237,67.232998
13.259973,63.354172
13.289710,59.198286
13.319446,55.042400
13.349183,51.163573
13.378919,47.007687
13.408656,42.851801
13.438392,38.695915
13.468129,34.262970
13.497865,30.107084
13.527602,25.951199
13.557338,21.518254
13.587075,17.085309
13.616811,12.652364
13.646548,8.219419
13.676284,3.786474
13.701684,0.000000
15.000000,0.000000
16.200000,0.000000
